timestamp,tag,duration,package_0,dram_0,core_0,uncore_0
1647418556.67737,load_csv,0.114185333251953,1023313,97229,617918,0
1647418556.79189,drop_column,0.001245498657227,8484,1465,9949,0
1647418557.0084,concat_dataframes,0.00395941734314,35156,2930,21424,0
1647418557.19572,merge,0.023028612136841,204650,17578,126709,0
1647418557.21907,subset,0.000410795211792,9094,733,5554,0
1647418557.21972,sample,0.002153635025024,16480,1281,9827,0
1647418557.22215,sample,0.002184391021729,26855,1343,10986,0
1647418557.2246,sample,0.002224206924438,17334,1281,10620,0
1647418557.22728,sum,0.007772922515869,54565,4882,33753,0
1647418557.23535,median,0.010820627212525,73120,6775,38025,0
1647418557.24656,min,0.005628347396851,35401,4089,22583,0
1647418557.25248,max,0.004808664321899,41259,3357,24291,0
1647418557.25778,unique,0.004692316055298,40039,3540,23438,0
