,load_csv,load_json,load_hdf,save_csv,save_json,save_hdf
0,1030.4,3697.8,3379.2,2261.6,1515.7,1713.6
1,95.1,480.1,283.1,260,206.9,138.8
2,612.5,2077.9,1979.6,1291.7,848.6,985.2
3,0,4.2,0,3.8,2.3,2.3
