,load_csv,load_json,load_hdf,save_csv,save_json,save_hdf
0,62.6,3471.9,502.7,4473.8,3683.7,5336.7
1,6,465.2,48.8,460.2,416.8,684.1
2,36.3,1950.4,235.2,2637.5,2153.2,2981.5
3,0,3.4,0.8,1.2,3.7,4.4
