,load_csv,load_json,load_hdf,save_csv,save_json,save_hdf,isna,dropna,fillna,replace,drop,groupby,concat_dataframes,sort,merge,count,sum,mean,min,max,unique
0,9696.6,156434.5,5568.2,28941.1,9797.8,3993.2,184.6,1329.9,1263.4,124.7,93.5,5.5,462.1,303.8,4249.3,1218.5,7.5,28.7,6.8,4.7,99.6
1,963.7,11384.1,804.7,2229,1105.3,523.8,21.6,111.1,99.7,20,20,0.5,92.1,48.3,534.6,84.4,0.8,3.9,0.6,0.6,7.3
2,5445.6,93984.4,2769.7,16027,3906,2166,99,796.8,763.8,64.1,49.5,2.6,248.2,165,2346.8,737.7,4.3,4.2,2.6,3.3,58.9
3,11.5,74.6,0.8,33.1,18.1,13.9,0,0.5,0.4,0,0,0,0,0,4.2,0.1,0.3,0.5,0,0,0.3
