,count,sum,mean,min,max,unique
0,77.2,34.6,54,40,40.2,56.2
1,6.2,3.3,5.3,3.6,3.4,5.9
2,42,18.7,28.6,21.9,22.2,29.8
3,0,0,0,0,0,0
