,count,sum,mean,min,max,unique
0,393.7,5.6,2.4,3.3,3.4,4.2
1,25.8,0.4,0.1,0.3,0.3,0.2
2,241.5,2.8,1.4,1.3,1.9,1.9
3,0,0,0,0,0,0
