,load_csv,load_json,load_hdf,save_csv,save_json,save_hdf,isna,dropna,fillna,replace,drop,groupby,concat_dataframes,sort,merge,count,sum,mean,min,max,unique
0,13042190.7,160102245.3,4272077.6,29620609.1,12402257.1,4732684.3,9954.7,77038.2,63433.7,4577.7,6323.4,272197.6,16748,92120.2,24176,33386,35192.9,46203.6,49987.6,34527.4,407524.8
1,1327584.3,11791858.3,418205.7,2688372.1,1600593.9,611137.3,732.4,7922.4,4424.9,427.5,555.6,35333.1,1580.8,8740.3,1910.2,2636.9,3222.8,4376,5462.6,3314.3,39269.9
2,7404082.7,96232791.9,1983717.1,15772597.4,5215086.7,1197958.3,5859.2,29382.1,36315.7,3173.9,4364,135534.2,7428.2,55334.2,10687.1,18621.8,21551.5,29388.3,19458.1,18023.4,264556.3
3,9997.4,53777.8,0,25268.6,14196.8,12738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
