timestamp,tag,duration,package_0,dram_0,core_0,uncore_0
1646917068.61389,load_csv,0.063462972640991,585692,62683,332152,0
1646917068.67791,drop_column,0.003523826599121,26001,4639,18982,0
1646917068.7997,concat_dataframes,0.010168790817261,99304,13184,49316,0
1646917068.82524,remove_duplicates,0.051433086395264,477721,51208,273803,0
1646917068.87778,merge,0.040595531463623,393798,36682,220275,0
1646917068.9192,subset,0.002173185348511,17517,2136,9461,0
1646917068.92205,sample,0.001631021499634,17334,672,4578,0
1646917068.92399,sample,0.003530025482178,34424,4150,12513,0
1646917068.92814,sample,0.005327463150024,42542,5493,20996,0
1646917068.93531,sum,0.00123405456543,8911,916,4822,0
1646917068.93688,median,0.001346349716187,17456,1770,8850,0
1646917068.93855,min,0.00039267539978,0,0,0,0
1646917068.93921,max,0.00035548210144,0,0,0,0
1646917068.93981,unique,0.000532627105713,8728,610,4517,0
