timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1651283230.5110407;load_csv;0.06537199020385742;601988.0;65978.0;338622.0;0.0
1651283230.5769703;load_json;0.4035496711730957;3729665.0;467039.0;2130732.0;0.0
1651283230.9818363;load_hdf;0.08621430397033691;736754.0;73730.0;401367.0;0.0
1651283231.0821018;save_csv;0.267841100692749;2787835.0;217712.0;1748713.0;0.0
1651283231.3504903;save_json;0.16847777366638184;1930964.0;177184.0;1266904.0;0.0
1651283231.5197153;save_hdf;0.02809739112854004;256835.0;27039.0;144775.0;366.0
1651283231.548232;isna;0.001972198486328125;17761.0;1403.0;9705.0;0.0
1651283231.5504851;dropna;0.0616917610168457;634092.0;47791.0;391173.0;61.0
1651283231.6134822;fillna;0.04277682304382324;424194.0;28808.0;251952.0;0.0
1651283231.6572728;replace;0.0015370845794677734;8361.0;732.0;4516.0;0.0
1651283231.6591809;drop;0.0033071041107177734;35828.0;4944.0;13977.0;0.0
1651283231.6637752;groupby;0.0005097389221191406;8667.0;854.0;4517.0;0.0
1651283231.6700356;concat_dataframes;0.006643533706665039;62256.0;11414.0;29113.0;0.0
1651283231.6780376;sort;0.007315874099731445;69885.0;8728.0;36438.0;0.0
1651283231.6863577;merge;0.1174468994140625;673338.0;75256.0;264953.0;0.0
1651283231.8052638;count;0.04593634605407715;409911.0;27526.0;226989.0;0.0
1651283231.851612;sum;0.00038933753967285156;8484.0;794.0;4822.0;0.0
1651283231.8522625;median;0.0012357234954833984;9339.0;915.0;5554.0;0.0
1651283231.8538046;min;0.0004329681396484375;0.0;0.0;0.0;0.0
1651283231.8544958;max;0.0004761219024658203;8239.0;915.0;4578.0;0.0
1651283231.8553503;unique;0.0009810924530029297;9827.0;733.0;5798.0;0.0
1651283235.1032696;load_csv;0.06535196304321289;574766.0;67322.0;341796.0;0.0
1651283235.1692672;load_json;0.3883388042449951;3374320.0;446655.0;1971553.0;427.0
1651283235.5588992;load_hdf;0.08426189422607422;803831.0;79529.0;507628.0;61.0
1651283235.659719;save_csv;0.20782804489135742;1897151.0;133850.0;1154538.0;0.0
1651283235.8678324;save_json;0.1384141445159912;908628.0;96008.0;456969.0;0.0
1651283236.006728;save_hdf;0.02843308448791504;256347.0;26184.0;139282.0;0.0
1651283236.0356152;isna;0.001856088638305664;18250.0;1587.0;10376.0;0.0
1651283236.0379398;dropna;0.04246258735656738;412780.0;27527.0;245239.0;0.0
1651283236.0813987;fillna;0.042900800704956055;422118.0;29175.0;249633.0;0.0
1651283236.125438;replace;0.001834869384765625;22339.0;2503.0;14587.0;0.0
1651283236.1276767;drop;0.003580331802368164;43395.0;5859.0;27100.0;0.0
1651283236.132556;groupby;0.0005345344543457031;8544.0;915.0;4516.0;0.0
1651283236.138651;concat_dataframes;0.005839824676513672;55664.0;9155.0;30579.0;0.0
1651283236.145889;sort;0.0066394805908203125;63660.0;7508.0;35401.0;0.0
1651283236.1535199;merge;0.03987288475036621;389708.0;33875.0;225098.0;0.0
1651283236.1941721;count;0.042760372161865234;422607.0;26367.0;246032.0;0.0
1651283236.237343;sum;0.00040459632873535156;0.0;0.0;0.0;0.0
1651283236.237988;median;0.0012440681457519531;8544.0;1892.0;10254.0;0.0
1651283236.2395809;min;0.00038361549377441406;0.0;0.0;0.0;0.0
1651283236.2402065;max;0.0003376007080078125;9094.0;671.0;4822.0;0.0
1651283236.240777;unique;0.0005490779876708984;0.0;733.0;4455.0;0.0
1651295865.391126;load_csv;0.007430315017700195;72632.0;6287.0;40833.0;0.0
1651295865.398897;load_json;0.40866589546203613;3724173.0;459593.0;2059077.0;0.0
1651295865.8080325;load_hdf;0.049288034439086914;436034.0;37354.0;246825.0;0.0
1651295865.8718364;save_csv;0.5228705406188965;4805834.0;477355.0;2850274.0;244.0
1651295866.3952649;save_json;0.413621187210083;3748770.0;418151.0;2229731.0;0.0
1651295866.8093567;save_hdf;0.6476271152496338;5505418.0;699034.0;3149589.0;0.0
1651295867.4574592;isna;0.001500844955444336;7386.0;855.0;3906.0;0.0
1651295867.4592621;dropna;0.004633903503417969;35217.0;2930.0;20752.0;0.0
1651295867.4642107;fillna;0.004490375518798828;44983.0;2503.0;21668.0;0.0
1651295867.4690497;replace;0.001247406005859375;17639.0;1465.0;10376.0;0.0
1651295867.4705737;drop;0.0042188167572021484;35645.0;2502.0;21240.0;0.0
1651295867.4751074;groupby;0.0003437995910644531;8911.0;610.0;5310.0;0.0
1651295867.7529342;concat_dataframes;0.031514883041381836;323912.0;45898.0;194884.0;17517.0
1651295867.7848606;sort;0.007684946060180664;78980.0;11292.0;43701.0;5798.0
1651295867.7929375;merge;0.031243562698364258;285888.0;20874.0;166076.0;0.0
1651295867.8245993;count;0.3350369930267334;3046806.0;347350.0;1806636.0;15137.0
1651295868.1600738;sum;0.24706482887268066;2275934.0;246826.0;1373776.0;244.0
1651295868.4078264;mean;0.2525901794433594;2319696.0;259704.0;1396847.0;0.0
1651295868.6613977;min;0.24131155014038086;2234431.0;244445.0;1350155.0;0.0
1651295868.9033928;max;0.001766204833984375;22094.0;2136.0;14648.0;0.0
1651295868.9056506;unique;0.25507688522338867;2284479.0;261841.0;1361691.0;0.0
1651295916.871661;load_csv;0.007135868072509766;60791.0;5493.0;35522.0;0.0
1651295916.879108;load_json;0.4203164577484131;3719168.0;477599.0;2173213.0;0.0
1651295917.2998426;load_hdf;0.04711127281188965;405700.0;34119.0;236266.0;0.0
1651295917.3620708;save_csv;0.5174334049224854;4700549.0;469970.0;2815605.0;0.0
