timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1646811721.4636953;load_csv;0.06376814842224121;566344.0;63598.0;329344.0;0.0
1646811721.5278997;drop_column;0.003217458724975586;25024.0;4334.0;19104.0;0.0
1646811721.6515656;concat_dataframes;0.00978708267211914;76415.0;11292.0;48645.0;0.0
1646811721.6730459;remove_duplicates;0.05092954635620117;468139.0;49988.0;275451.0;3662.0
1646811721.7249243;merge;0.03923678398132324;362365.0;32470.0;216979.0;0.0
1646811721.764979;subset;0.002002716064453125;16846.0;1648.0;9277.0;0.0
1646811721.7676375;sample;0.001558542251586914;16602.0;1403.0;9400.0;0.0
1646811721.7695055;sample;0.0032548904418945312;24963.0;4151.0;16723.0;0.0
1646811721.7733276;sample;0.004612445831298828;42358.0;5371.0;23377.0;0.0
1646811721.779638;sum;0.0011508464813232422;8362.0;1770.0;4273.0;0.0
1646811721.781175;median;0.0012638568878173828;8240.0;855.0;4577.0;0.0
1646811721.7828288;min;0.00045037269592285156;8484.0;0.0;0.0;0.0
1646811721.783526;max;0.0003256797790527344;7812.0;672.0;4333.0;0.0
1646811721.7840798;unique;0.0005133152008056641;0.0;0.0;0.0;0.0
