timestamp,tag,duration,package_0,dram_0,core_0,uncore_0
1651066563.31176,load_csv,0.06317925453186,548888,62439,322814,0
1651066563.37551,load_json,0.381092548370361,3269828,434813,1907039,3906
1651066563.75791,load_hdf,0.066168069839478,563720,55969,331787,0
1651066563.83815,save_csv,0.187966823577881,1675167,114624,1031430,122
1651066564.02666,save_json,0.10477614402771,786619,79102,433898,4150
1651066564.13209,save_hdf,0.026928424835205,226684,24658,131653,0
